HospitalKey,HospitalID,HospitalName,Description,Address,District,Latitude,Longitude,NUTSIDescription,NUTSIIDescription,NUTSIIIDescription,PhoneNum,Email
98,227,"Hospital Pulido Valente (Centro Hospitalar de Lisboa Norte, EPE)","Centro Hospitalar de Lisboa Norte, EPE","Alameda das Linhas de Torres, 117 1769-001 Lisboa",Lisboa,38.765467,-9.157316,Continente,Oeste e Vale do Tejo,Oeste,217548000,administracao@chln.min-saude.pt
18,146,"Hospital São João (Centro Hospitalar de São João, EPE)","Centro Hospitalar de São João, EPE",Alameda Professor Hernâni Monteiro 4200-319 P Porto,Porto,41.182126,-8.600733,Continente,Norte,Tâmega e Sousa,225512100,geral@chsj.min-saude.pt
79,210,"Hospital Santo António dos Capuchos (Centro Hospitalar Lisboa Central, EPE)",Centro Hospitalar Lisboa Central,Alameda Santo António dos Capuchos 1169-050 Lisboa,Lisboa,38.72153,-9.141437,Continente,Oeste e Vale do Tejo,Oeste,213136300,sec.adm.capuchos@chlc.min-saude.pt
61,195,"Hospital Visconde de Salreu - Estarreja (Centro Hospitalar do Baixo Vouga, EPE)","Centro Hospitalar do Baixo Vouga, EPE",Apartado 46 3860-756 Estarreja,Aveiro,40.747907,-8.5673317,Continente,Centro,Região de Aveiro,234810000,geral@hvsalreu.min-saude.pt
84,553,Centro de Saúde de Estremoz,"",Av. 9 de Abril 7100-500 Estremoz,Évora,38.845309,-7.583389,Continente,Alentejo,Alentejo Central,268337700,csestremoz@alentejocentral.min-saude.pt
21,135,"Hospital Distrital de Bragança (Unidade Local de Saúde do Nordeste, EPE)","Unidade Local de Saúde do Nordeste, EPE",Av. Abade Baçal 5301-852 B Bragança,Bragança,41.802904,-6.773279,Continente,Norte,Terras de Trás-os-Montes,273310800,secretariado@ulsne.min-saude.pt
12,168,"Hospital Pediátrico de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)","Centro Hospitalar e Universitário de Coimbra, EPE",Av. Afonso Romão 3000-602 Coimbra,Coimbra,40.224481,-8.413439,Continente,Centro,Região de Coimbra,239488700,correio@hpc.chc.min-saude.pt
27,189,"Hospital Infante D. Pedro - Aveiro (Centro Hospitalar do Baixo Vouga, EPE)","Centro Hospitalar do Baixo Vouga, EPE",Av. Artur Ravara 3814-501 Aveiro,Aveiro,40.6362453,-8.6543716,Continente,Centro,Região de Aveiro,234378300,sec-adm@chbv.min-saude.pt
13,219,"Hospital Distrital de Santarém, EPE","",Av. Bernardo Santareno - Apartado 115 2005-177 Santarém,Santarém,39.262611,-8.726093,Continente,Oeste e Vale do Tejo,Médio Tejo,243300200,hdsca@hds.min-saude.pt
26,171,"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)","Centro Hospitalar e Universitário de Coimbra, EPE",Av. Bissaya Barreto - Praceta Prof. Mota Pinto 3000-075 Coimbra,Coimbra,40.220492,-8.412677,Continente,Centro,Região de Coimbra,239400400,casec@huc.min-saude.pt
32,196,"Instituto Português de Oncologia de Coimbra Francisco Gentil, EPE",IPO Coimbra,"Av. Bissaya Barreto, 98 3000-075 Coimbra",Coimbra,40.21797905,-8.409669399,Continente,Centro,Região de Coimbra,239400200,secad@ipocoimbra.min-saude.pt
88,65413,Hospital de Cascais Dr. José de Almeida,"",Av. Brigadeiro Victor Novais Gonçalves 2755-009 Alcabideche,Lisboa,38.73094322,-9.418576956,Continente,Oeste e Vale do Tejo,Oeste,214653000,geral@hospitaldecascais.pt
24,185,"Hospital Distrital São João da Madeira (Centro Hospitalar de Entre o Douro e Vouga, EPE)","Centro Hospitalar de Entre Douro e Vouga, EPE",Av. da Misericórdia 3700-190 São João da  Madeira,Aveiro,40.89358667,-8.494523764,Continente,Centro,Região de Aveiro,256379700,geral@chedv.min-saude.pt
43,431,Centro de Saúde de Moimenta da Beira,"",Av. da República 3620-334 Moimenta Da Beira,Viseu,40.971893,-7.610076,Continente,Norte,Douro,254520250,ctecnico.mbeira@srsvreal.min-saude.pt
40,234,"Hospital Dr. José Maria Grande - Portalegre (Unidade Local de Saúde do Norte Alentejano, EPE)","Unidade Local de Saúde do Norte Alentejano, EPE",Av. de Santo António 7300-853 PORTA Portalegre,Portalegre,39.3000641,-7.42762953,Continente,Alentejo,Alto Alentejo,245301000,admin@ulsna.min-saude.pt
