ServiceKey,Speciality,PriorityCode,PriorityDescription,TypeCode,TypeDescription
92,Cirurgia Geral,0,1 - Doença não oncológica,1,Surgery
93,Cirurgia Maxilo Facial,0,1 - Doença não oncológica,1,Surgery
94,Cirurgia Pediátrica,0,1 - Doença não oncológica,1,Surgery
95,Cirurgia Plástica  e Reconstrutiva,0,1 - Doença não oncológica,1,Surgery
96,Cirurgia Vascular,0,1 - Doença não oncológica,1,Surgery
97,Dermatologia,0,1 - Doença não oncológica,1,Surgery
98,Ginecologia,0,1 - Doença não oncológica,1,Surgery
99,Oftalmologia,0,1 - Doença não oncológica,1,Surgery
100,Ortopedia,0,1 - Doença não oncológica,1,Surgery
101,Otorrinolaringologia,0,1 - Doença não oncológica,1,Surgery
102,Urologia,0,1 - Doença não oncológica,1,Surgery
103,Anestesiologia,0,1 - Doença não oncológica,1,Surgery
104,Cirurgia Cardiotorácica,0,1 - Doença não oncológica,1,Surgery
105,Estomatologia,0,1 - Doença não oncológica,1,Surgery
106,Nefrologia,0,1 - Doença não oncológica,1,Surgery
107,Neurocirurgia,0,1 - Doença não oncológica,1,Surgery
108,Obstetrícia,0,1 - Doença não oncológica,1,Surgery
109,Senologia,0,1 - Doença não oncológica,1,Surgery
110,Unidade Tratamento Cirúrgico da Obesidade,0,1 - Doença não oncológica,1,Surgery
111,Cirurgia Cabeça e Pescoço,0,1 - Doença não oncológica,1,Surgery
112,Radioterapia,0,1 - Doença não oncológica,1,Surgery
113,Transplante Medula Óssea,0,1 - Doença não oncológica,1,Surgery
115,Radiodiagnóstico,0,1 - Doença não oncológica,1,Surgery
116,Angiologia e Cirurgia Vascular,0,1 - Doença não oncológica,1,Surgery
117,Cardiologia Geral,0,1 - Doença não oncológica,1,Surgery
118,Dermato-Venereologia,0,1 - Doença não oncológica,1,Surgery
119,Neuropatologia,0,1 - Doença não oncológica,1,Surgery
120,Cirurgia Digestiva Baixa (cólon e recto),0,1 - Doença não oncológica,1,Surgery
121,Gastroenterologia,0,1 - Doença não oncológica,1,Surgery
123,Transplante Hepático,0,1 - Doença não oncológica,1,Surgery
125,Neuroradiologia,0,1 - Doença não oncológica,1,Surgery
126,Pneumologia,0,1 - Doença não oncológica,1,Surgery
127,Pediatria,0,1 - Doença não oncológica,1,Surgery
128,Reumatologia,0,1 - Doença não oncológica,1,Surgery
129,Ginecologia - Obstetrícia,0,1 - Doença não oncológica,1,Surgery
130,Dor,0,1 - Doença não oncológica,1,Surgery
114,Cirurgia Torácica,0,2 - Doença não oncológica,1,Surgery
124,Unidade de Queimados,0,2 - Doença não oncológica,1,Surgery
122,Bloco,0,3,1,Surgery
5,Gastrenterologia,0,Sem prioridade atribuída,2,Appointment
10,Estomatologia,0,Sem prioridade atribuída,2,Appointment
11,Hematologia clínica,0,Sem prioridade atribuída,2,Appointment
12,Neurocirurgia,0,Sem prioridade atribuída,2,Appointment
13,Otorrinolaringologia,0,Sem prioridade atribuída,2,Appointment
14,Pneumologia,0,Sem prioridade atribuída,2,Appointment
24,Cuidados Paliativos,0,Sem prioridade atribuída,2,Appointment
29,Cirurgia Torácica,0,Sem prioridade atribuída,2,Appointment
36,Psiquiatria Geral Torres Vedras,0,Sem prioridade atribuída,2,Appointment
61,Endocrinologia - Teleconsulta,0,Sem prioridade atribuída,2,Appointment
62,Paramiloidose/Neurologia,0,Sem prioridade atribuída,2,Appointment
68,Patologia Clinica - Hipocoagulação Oral,0,Sem prioridade atribuída,2,Appointment
75,CR Colon-Recto,0,Sem prioridade atribuída,2,Appointment
76,Deterioração Cognitiva,0,Sem prioridade atribuída,2,Appointment
77,Medicina Desportiva,0,Sem prioridade atribuída,2,Appointment
83,Pé Diabético - Teleconsulta,0,Sem prioridade atribuída,2,Appointment
85,Cirurgia Pediátrica - Teleconsulta,0,Sem prioridade atribuída,2,Appointment
86,Dermatologia - Teleconsulta,0,Sem prioridade atribuída,2,Appointment
87,Fisiatria - Teleconsulta,0,Sem prioridade atribuída,2,Appointment
