HospitalName,ServiceKey,AverageWaitingTime_Speciality_Priority_Institution,MonthPortuguese,Year,NumberOfPeople
Centro Materno-Infantil do Norte (Centro Hospitalar do Porto),7,41,,2024,21
Centro Materno-Infantil do Norte (Centro Hospitalar do Porto),7,0,,2024,154
Centro Materno-Infantil do Norte (Centro Hospitalar do Porto),7,122,,2024,610
Centro Materno-Infantil do Norte (Centro Hospitalar do Porto),20,39.5,,2024,1
Centro Materno-Infantil do Norte (Centro Hospitalar do Porto),47,0,,2024,10
Centro Materno-Infantil do Norte (Centro Hospitalar do Porto),47,132,,2024,139
Centro Materno-Infantil do Norte (Centro Hospitalar do Porto),49,16,,2024,0
Centro Materno-Infantil do Norte (Centro Hospitalar do Porto),49,11,,2024,3
Centro Materno-Infantil do Norte (Centro Hospitalar do Porto),49,0,,2024,84
Centro Materno-Infantil do Norte (Centro Hospitalar do Porto),49,68,,2024,427
Centro Materno-Infantil do Norte (Centro Hospitalar do Porto),67,28,,2024,1
Centro Materno-Infantil do Norte (Centro Hospitalar do Porto),67,0,,2024,4
Centro Materno-Infantil do Norte (Centro Hospitalar do Porto),67,33,,2024,8
Centro Materno-Infantil do Norte (Centro Hospitalar do Porto),67,46,,2024,28
Centro Materno-Infantil do Norte (Centro Hospitalar do Porto),98,41,,2024,21
Centro Materno-Infantil do Norte (Centro Hospitalar do Porto),98,0,,2024,154
Centro Materno-Infantil do Norte (Centro Hospitalar do Porto),98,122,,2024,610
Centro Materno-Infantil do Norte (Centro Hospitalar do Porto),108,16,,2024,0
Centro Materno-Infantil do Norte (Centro Hospitalar do Porto),108,11,,2024,3
Centro Materno-Infantil do Norte (Centro Hospitalar do Porto),108,0,,2024,84
Centro Materno-Infantil do Norte (Centro Hospitalar do Porto),108,68,,2024,427
Centro Materno-Infantil do Norte (Centro Hospitalar do Porto),109,28,,2024,1
Centro Materno-Infantil do Norte (Centro Hospitalar do Porto),109,0,,2024,4
Centro Materno-Infantil do Norte (Centro Hospitalar do Porto),109,33,,2024,8
Centro Materno-Infantil do Norte (Centro Hospitalar do Porto),109,46,,2024,28
Centro Materno-Infantil do Norte (Centro Hospitalar do Porto),127,39.5,,2024,1
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",1,39,,2024,1
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",1,0,,2024,44
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",1,108,,2024,328
"Hospitais da Universidade de Coimbra (Centro Hospitalar e Universitário de Coimbra, EPE)",2,36,,2024,7
